"","tDd","reD","NpDd"
"55",0.0115029643264017,"10",0.0322052239645708
"56",0.0125595163861537,"10",0.0340383288303359
"57",0.0137131131922241,"10",0.0359865353353137
"58",0.0149726683449426,"10",0.0380577432555826
"59",0.016347914162538,"10",0.0402604314898036
"60",0.0178494768807179,"10",0.0426037025533786
"61",0.0194889587593613,"10",0.0450973307055979
"62",0.0212790277307449,"10",0.0477518140387706
"63",0.0232335152819961,"10",0.0505784307880967
"64",0.02536752332809,"10",0.0535893000689727
"65",0.0276975409011762,"10",0.0567974471435982
"66",0.0302415715578683,"10",0.0602168731519949
"67",0.0330192724889463,"10",0.0638626292438954
"68",0.0360521064063423,"10",0.0677508950335711
"69",0.0393635073810104,"10",0.0718990616723503
"70",0.0429790619130723,"10",0.0763258203413411
"71",0.0469267066333328,"10",0.0810512578132896
"72",0.0512369441637602,"10",0.0860969615915803
"73",0.0559430788048429,"10",0.0914861377946407
"74",0.061081473870927,"10",0.0972437449004292
"75",0.066691832661912,"10",0.103396645313789
"76",0.0728175052423136,"10",0.109973774053644
"77",0.0795058233981114,"10",0.11700631959293
"78",0.0868084663595217,"10",0.124527906227205
"79",0.09478186011556,"10",0.132574761030624
"80",0.103487613405812,"10",0.141185842332312
"81",0.112992993758228,"10",0.150402901998956
"82",0.123371447251193,"10",0.160270451591353
"83",0.134703166015951,"10",0.170835603535396
"84",0.14707570786437,"10",0.182147762681958
"85",0.160584672829767,"10",0.194258150798476
"86",0.175334441848303,"10",0.207219155193695
"87",0.191438983288556,"10",0.221083501488648
"88",0.20902273356118,"10",0.235903257830233
"89",0.228221558612926,"10",0.251728682377398
"90",0.249183803734285,"10",0.268606927347549
"91",0.272071439792412,"10",0.286580611068073
"92",0.297061314746,"10",0.305686265905381
"93",0.324346520112336,"10",0.325952665769966
"94",0.354137882944917,"10",0.347399034427269
"95",0.386665594849828,"10",0.370033136247836
"96",0.422180990627953,"10",0.393849256422399
"97",0.460958490286219,"10",0.418826088489337
"98",0.503297719423376,"10",0.444924563702324
"99",0.549525824374092,"10",0.472085679630919
"100",0.6,"10",0.500228413107335
"101",1e-04,"20",0.00138226824920438
"102",0.0001091850416099,"20",0.0014497987279014
"103",0.000119213733113557,"20",0.0015208457899596
"104",0.000130163564104752,"20",0.00159560971634782
"105",0.000142119141628703,"20",0.00167430342535517
"106",0.000155172843922932,"20",0.00175715334685548
"107",0.000169425534204519,"20",0.00184440036086036
"108",0.000184987340019,"20",0.00193630080586587
"109",0.000201978504172792,"20",0.00203312756145695
"110",0.000220530313824117,"20",0.00213517121166167
"111",0.000240786114911306,"20",0.00224274129495911
"112",0.000262902419756772,"20",0.00235616764735326
"113",0.000287050116404866,"20",0.00247580184609347
"114",0.00031341578903792,"20",0.00260201876156563
"115",0.00034220315967305,"20",0.00273521822569901
"116",0.000373634662279413,"20",0.0028758268259872
"117",0.000407953161478787,"20",0.00302429983477298
"118",0.000445423829109517,"20",0.00318112328430555
"119",0.000486336193153637,"20",0.00334681619895676
"120",0.000531006374858803,"20",0.00352193299657684
"121",0.000579779531340807,"20",0.00370706607245562
"122",0.000633032522540144,"20",0.00390284857984625
"123",0.000691176823139658,"20",0.00410995742285404
"124",0.000754661701943022,"20",0.0043291164773261
"125",0.000823977693280469,"20",0.00456110005896942
"126",0.000899660387264576,"20",0.00480673665698055
"127",0.000982294568182617,"20",0.00506691295420467
"128",0.00107251873300198,"20",0.005342578156916
"129",0.00117103002490219,"20",0.00563474865783122
"130",0.00127858961995388,"20",0.00594451305980355
