MD,INC,AZ
2300,22.87599296,282.3133453
2310,23.6,282
2320,24.13038555,281.3056908
2330,24.66378283,280.6395744
2340,25.2,280
2350,25.76666667,280
2360,26.33333333,280
2370,26.9,280
2380,27.71,280
2390,28.52,280
2400,29.33,280
2410,29.90333333,280
2420,30.47666667,280
2430,31.05,280
2440,31.83,280
2450,32.61,280
2460,33.39,280
2470,34,280
2480,34.61,280
2490,35.22,280
2505,35.335,280
2520,35.45,280
2535,35.50396853,280.5006728
2550,35.56,281
2565,35.235,281
2580,34.91,281
2595,34.915,281
2610,34.92,281
2625,35.01397476,281.5011834
2640,35.11,282
2655,35.00897482,282.4987541
2670,34.91,283
2685,34.76397806,283.498177
2700,34.62,284
2715,34.84397701,283.4971795
2730,35.07,283
2745,35.02397462,282.5005603
2760,34.98,282
2775,34.945,282
2790,34.91,282
2800,35.17241531,282.3376741
2810,35.43575557,282.6709797
2820,35.7,283
2830,35.18243017,282.6752153
2840,34.66574984,282.3420062
2850,34.15,282
2860,34.45333333,282
2870,34.75666667,282
2880,35.06,282
2890,35.22633214,282.6722451
2900,35.39635003,283.3389245
2910,35.57,284
2925,35.38397005,283.5022731
2940,35.2,283
2955,34.93,283
2970,34.66,283
2980,34.70848614,281.9972139
2990,34.76516634,280.9970814
3000,34.83,280
3015,34.81,280
3030,34.79,280
3045,34.865,280
3060,34.94,280
3075,35.09,280
3090,35.24,280
3100,35.61186281,281.3582552
3110,35.99869111,282.6916313
3120,36.4,284
3135,36.64,284
3150,36.88,284
3160,35.99666667,284
3170,35.11333333,284
3180,34.23,284
3190,34.52666667,284
3200,34.82333333,284
3210,35.12,284
3225,35.15397295,284.5004337
3240,35.19,285
3255,35.14,285
3270,35.09,285
3285,35.04397437,285.4994401
3300,35,286
3315,34.8739766,285.5015652
3330,34.75,285
3340,34.37641444,284.3459582
3350,34.0063749,283.6793893
3360,33.64,283
3375,33.44,283
3390,33.24,283
3400,32.56653921,282.3578277
3410,31.89646575,281.6916375
3420,31.23,281
3450,31.23,281
3465,31.05403589,280.5025362
3480,30.88,280
3495,30.60404407,280.4959428
3510,30.33,281
3525,30.47404641,280.4978496
3540,30.62,280
3550,30.98333333,280
3560,31.34666667,280
3570,31.71,280
3585,31.865,280
3600,32.02,280
3615,31.955,280
3630,31.89,280
3645,31.955,280
3660,32.02,280
3670,32.55910957,279.6568484
3680,33.09912426,279.3236718
3690,33.64,279
3700,33.9124301,279.3380564
3710,34.18577075,279.6713566
3720,34.46,280
3735,34.57,280
3750,34.68,280
3765,34.50398157,280.4977783
3780,34.33,281
3790,34.81333333,281
3800,35.29666667,281
3810,35.78,281
3820,36.34239788,281.3422192
3830,36.90574575,281.6754192
3840,37.47,282
3851.666667,37.79905538,281.661726
3863.333333,38.12906373,281.3284317
3875,38.46,281
3881,38.55574634,279.9978103
3887,38.66,279
3896.666667,38.62955184,279.6658717
3906.333333,38.6028825,280.3325746
3916,38.58,281
3928,38.28541099,281.7355811
3940,37.99547461,282.4807309
3952,37.71030055,283.2355173
3964,37.43,284
3973.333333,36.75574936,283.6771902
3982.666667,36.0823986,283.3440519
3992,35.41,283
4001.666667,35.05576172,282.672537
4011.333333,34.70241904,282.3392592
4021,34.35,282
4030.666667,34.75666667,282
4040.333333,35.16333333,282
4050,35.57,282
4059.333333,35.92907213,282.3391026
4068.666667,36.28908149,282.6723826
4078,36.65,283
4092.5,36.975,283
4107,37.3,283
4121.5,37.39394738,283.5010846
4136,37.49,284
4145.666667,38.00571743,283.6589937
4155.333333,38.52239711,283.325761
4165,39.04,283
4174.666667,39.43,283
4184.333333,39.82,283
4194,40.21,283
4203,40.63,283
4212,41.05,283
4221,41.47,283
4245,41.47,283
