WELL,MD,POROSITY,PERMEABILITY,PTS,RT
WELL_2,3857,0.174,5.981,1.30890596,Meso
WELL_2,3857.25,0.222,114.713,6.022866834,Macro
WELL_2,3857.5,0.217,135.986,6.788805701,Macro
WELL_2,3857.75,0.21,38.536,3.327301147,Macro
WELL_2,3858,0.2,51.523,4.116866229,Macro
WELL_2,3858.199951,0.152,2.138,0.803399705,Meso
WELL_2,3858.399902,0.179,8.647,1.586396968,Meso
WELL_2,3858.75,0.142,15.806,2.762677516,Macro
WELL_2,3859,0.194,47.193,4.014018094,Macro
WELL_2,3859.25,0.183,18.149,2.40684236,Macro
WELL_2,3859.75,0.19,8.463,1.487788513,Meso
WELL_2,3860,0.224,15913.9697,108.6504391,Mega
WELL_2,3860.149902,0.217,15600.5488,110.3735566,Mega
WELL_2,3861.300049,0.223,1646.28,28.73219301,Mega
WELL_2,3861.699951,0.23,3370.7329,42.63527432,Mega
WELL_2,3862,0.237,2590.708,35.58832002,Mega
WELL_2,3862.199951,0.232,4442.7822,49.7782397,Mega
WELL_2,3862.399902,0.23,4432.022,50.08054787,Mega
WELL_2,3862.649902,0.229,3458.333,43.44660313,Mega
WELL_2,3863,0.235,1495.905,25.95618896,Mega
WELL_2,3867,0.218,4567.9712,53.39381145,Mega
WELL_2,3867.149902,0.201,3454.063,48.59334507,Mega
WELL_2,3868,0.173,989.278,26.52011222,Mega
WELL_2,3868.25,0.211,3803.333,49.31245195,Mega
WELL_2,3868.699951,0.212,5115.689,58.46304711,Mega
WELL_2,3869,0.221,4603.4312,53.00747165,Mega
WELL_2,3869.25,0.237,6813.2031,62.838819,Mega
WELL_2,3869.5,0.237,6239.0459,59.66874717,Mega
WELL_2,3869.75,0.226,5994.2759,60.72387882,Mega
WELL_2,3870,0.229,6377.3711,62.26320276,Mega
WELL_2,3870.199951,0.228,5239.7041,55.67967199,Mega
WELL_2,3870.399902,0.227,6055.8369,60.85721463,Mega
WELL_2,3870.75,0.227,6207.2168,61.74716818,Mega
WELL_2,3871,0.237,7990.4141,69.0125651,Mega
WELL_2,3871.25,0.238,8751.5361,72.54092193,Mega
WELL_2,3871.5,0.233,8074.876,70.4693671,Mega
WELL_2,3871.75,0.234,8775.2266,73.72816128,Mega
WELL_2,3872,0.246,9786.498,75.28716205,Mega
WELL_2,3872.5,0.222,8682.5518,76.67886773,Mega
WELL_2,3872.800049,0.234,4635.1611,50.6574846,Mega
WELL_2,3873,0.224,4748.3398,53.3571083,Mega
WELL_2,3873.25,0.219,2451.637,36.88557101,Mega
WELL_2,3873.5,0.224,2782.2151,38.96614531,Mega
WELL_2,3873.75,0.217,1717.4351,30.158409,Mega
